,level_0,index,Unnamed: 0,latitude,longitude
320,320,698,698,45.339841 ,-75.910723
321,321,699,699,29.961078 ,-81.340501
322,322,700,700,30.04479 ,-98.039313
323,323,702,702,52.498252 ,-2.002874
324,324,703,703,38.46806 ,106.27306
325,325,704,704,15.760691 ,43.686232
326,326,705,705,47.852823 ,1.911113
327,327,706,706,43.569326 ,1.38676
328,328,707,707,33.588178 ,-100.217897
329,329,708,708,40.393715 ,-3.676087
330,330,709,709,40.416024 ,-3.696213
331,331,712,712,29.88628 ,-95.494941
332,332,713,713,40 ,-4
333,333,714,714,36.718612 ,-4.496911
334,334,721,721,41.412355 ,2.197328
335,335,722,722,37.540601 ,-5.079589
336,336,723,723,12.4989 ,124.6377
337,337,729,729,54.155568 ,38.1775
338,338,731,731,41.406739 ,2.132058
339,339,734,734,33.703837 ,72.978521
340,340,735,735,41.395942 ,2.149939
341,341,736,736,54.247107 ,-3.253915
342,342,737,737,38.09032 ,-92.29267
343,343,738,738,39.78373 ,-100.445882
344,344,739,739,14.18455 ,12.003467
345,345,740,740,41.311421 ,19.446037
346,346,741,741,41.82046 ,1.86768
347,347,743,743,43.451896 ,-3.871985
348,348,745,745,18.833333 ,-98
349,349,746,746,43.599429 ,-116.21314
350,350,751,751,38.09032 ,-92.29267
351,351,752,752,40.445524 ,-3.656695
352,352,754,754,41.396587 ,2.15164
353,353,760,760,41.394306 ,2.152455
354,354,761,761,41.611129 ,0.6272
355,355,764,764,-36.846418 ,174.761639
356,356,766,766,-13.716985 ,-76.205805
357,357,767,767,52.171533 ,20.973048
358,358,773,773,45.154542 ,-64.398833
359,359,774,774,39.029027 ,-96.829684
360,360,776,776,51.450806 ,-1.047016
361,361,778,778,42.83333 ,12.83333
362,362,781,781,40 ,-4
363,363,785,785,28.486359 ,-16.317929
364,364,787,787,49.95972 ,11.91072
365,365,788,788,41.400178 ,2.191572
366,366,789,789,40.483359 ,-3.667923
367,367,790,790,33.374755 ,130.194511
368,368,796,796,-12.162391 ,-76.997239
369,369,798,798,40.927641 ,-8.572243
370,370,799,799,40 ,-4
